Test Name (Clalit),Test Name (NHANES),Clalit ID,NHANES ID,In Clalit,In NHANES,Mapping Status
,Total Iron Binding Capacity TIBC (ug/dL),,total iron binding capacity tibc__ug/dl,,V,NHANES Only
,Transferrin receptor (mg/L),,transferrin receptor__mg/l,,V,NHANES Only
,Transferrin receptor (nmol/L),,transferrin receptor__nmol/l,,V,NHANES Only
,Transferrin saturation (%),,transferrin saturation,,V,NHANES Only
,"Unsaturated Iron Binding Capacity (UIBC), Serum (ug/dL)",,unsaturated iron binding capacity uibc serum__ug/dl,,V,NHANES Only
,"Unsaturated Iron Binding Capacity (UIBC), Serum (umol/L)",,unsaturated iron binding capacity uibc serum__umol/l,,V,NHANES Only
,Vitamin B12 (pmol/L),,vitamin b12__pmol/l,,V,NHANES Only
,"Vitamin B12, serum (pg/mL)",,vitamin b12 serum__pg/ml,,V,NHANES Only
,"Vitamin B12, serum (pmol/L)",,vitamin b12 serum__pmol/l,,V,NHANES Only
,Vitamin B6 (Pyridoxal 5'-phosphate) test results (nmol/L).,,vitamin b6 pyridoxal 5 -phosphate test results nmol/l,,V,NHANES Only
,Vitamin C (mg/dL),,vitamin c__mg/dl,,V,NHANES Only
,Vitamin C (umol/L),,vitamin c__umol/l,,V,NHANES Only
,Vitamin E (ug/dL),,vitamin e__ug/dl,,V,NHANES Only
,Vitamin E (umol/L),,vitamin e__umol/l,,V,NHANES Only
,a-Tocopherol (ug/dL),,a-tocopherol__ug/dl,,V,NHANES Only
,a-Tocopherol (umol/L),,a-tocopherol__umol/l,,V,NHANES Only
,cis-b-carotene (ug/dL),,cis-b-carotene__ug/dl,,V,NHANES Only
,cis-b-carotene (umol/L),,cis-b-carotene__umol/l,,V,NHANES Only
,d-Tocopherol (ug/dL),,d-tocopherol__ug/dl,,V,NHANES Only
,d-Tocopherol (umol/L),,d-tocopherol__umol/l,,V,NHANES Only
,epi-25-hydroxyvitamin D3 (nmol/L),,epi-25-hydroxyvitamin d3,,V,NHANES Only
,g-tocopherol (ug/dL),,g-tocopherol__ug/dl,,V,NHANES Only
,g-tocopherol (umol/L),,g-tocopherol__umol/l,,V,NHANES Only
,total b-Carotene (ug/dL),,total b-carotene__ug/dl,,V,NHANES Only
,total b-Carotene (umol/L),,total b-carotene__umol/l,,V,NHANES Only
,trans-b-carotene (ug/dL),,trans-b-carotene__ug/dl,,V,NHANES Only
,trans-b-carotene (umol/L),,trans-b-carotene__umol/l,,V,NHANES Only
,Alpha-1-Acid Glycoprotein (g/L),,alpha-1-acid glycoprotein,,V,NHANES Only
,C-reactive protein (mg/dL),,c-reactive protein,,V,NHANES Only
,17α-hydroxyprogesterone (ng/dL),,17a-hydroxyprogesterone__ng/dl,,V,NHANES Only
,17α-hydroxyprogesterone (nmol/L),,17a-hydroxyprogesterone__nmol/l,,V,NHANES Only
,Androstenedione (nmol/L),,androstenedione__nmol/l,,V,NHANES Only
,Anti-Mullerian Hormone (ng/ml),,anti-mullerian hormone__ng/ml,,V,NHANES Only
